City,State,Lat,Lng
Los Angeles,CA,34°03′N,118°15′W
Barstow,CA,34°54′N,117°1′W
Las Vegas,NV,36°10′30″N,115°08′11″W
Fillmore,UT,38.967778°N,112.33083°W
Provo,UT,40°14′40″N,111°39′39″W
Grand Junction,CO,39°04′N,108°34′W
Denver,Co,39°44′21″N,104°59′25″W
Grand Island,NE,40°55′20″N,98°21′29″W
Lincoln,NE,40°48′32″N,96°40′44″W
Des Moines,IA,41°35′27″N,93°37′15″W
Cedar Rapids,IA,41°58′59″N,91°40′7″W
Rockford,IL,42°15′34″N,89°03′52″W
Chicago,IL,41.8781°N,87.6298°W
South Bend,IN,41°40′35″N,86°15′01″W
Toledo,OH,41°39′56″N,83°34′31″W
Youngstown,OH,41°6′N,80°39′W
Pittsburgh,PA,40°26′23″N,79°58′35″W
Mechanicsburg,PA,40°12′44″N,77°00′22″W
Harrisburg,PA,40°16′11″N,76°52′32″W
Hamburg,PA,40°33′N,75°59′W
Allentown,PA,40°36′06″N,75°28′38″W
Bethlehem,PA,40°37′34″N,75°22′32″W
Newark,NJ,40.72422°N,74.172574°W
New York,NY,40.712740°N,74.005974°W
Seattle,WA,47°36′35″N,122°19′59″W
Ellensburg,WA,46.995°N,120.549°W
Spokane,WA,47°39′32″N,117°25′30″W
Missoula,MT,46°51′45″N,114°0′42″W
Butte,MT,45°59′56″N,112°31′27″W
Billings,MT,45°47′01″N,108°30′22″W
Rapid City,SD,44.076°N,103.228°W
Alexandria,SD,43°39′17″N,97°46′53″W
Sioux Falls,SD,43°32′11″N,96°43′54″W
Sioux City,IA,42°29′53″N,96°23′44″W
Omaha,NE,41°15′N,96°0′W
St Joseph,MO,39°45′29″N,94°50′12″W
Jefferson City,MO,38°34′36″N,92°10′25″W
Kansas City,MO,39°05′59″N,94°34′42″W
St. Louis,MO,38°37′38″N,90°11′52″W
Clarksdale,MS,34°12′N,90°34′W
Nashville,TN,36°09′44″N,86°46′28″W
Chattanooga,TN,35°2′44″N,85°16′2″W
Atlanta,GA,33°45′18″N,84°23′24″W
Macon,GA,32°50′5″N,83°39′6″W
Valdosta,GA,30°50′48″N,83°16′59″W
Gainesville,FL,29°39′7.19″N,82°19′29.97″W
Orlando,FL,28°32′24″N,81°22′48″W
Tampa,FL,27°58′05″N,82°28′35″W
Miami,FL,25.775163°N,80.208615°W
Boston,MA,42°21′29″N,71°03′49″W
Worcester,MA,42°16′17″N,71°47′56″W
Hartford,CT,41°45′45″N,72°40′27″W
Danbury,CT,41°24′08″N,73°28′16″W
Scranton,PA,41°24′38″N,75°40′03″W
Bellefonte,PA,40°54′53″N,77°46′29″W
Pittsburgh,PA,40°26′23″N,79°58′35″W
Youngstown,OH,41°6′N,80°39′W
Akron,OH,41°4′23″N,81°31′4″W
Mansfield,OH,40°45′N,82°31′W
Columbus,OH,39°57′44″N,83°00′02″W
Dayton,OH,39°45′34″N,84°11′30″W
Indianapolis,IN,39°46′07″N,86°09′29″W
Decatur,IL,39°50′29.12″N,88°57′21.17″W
St. Louis,IL,38°37′38″N,90°11′52″W
Cuba,MO,38°3′47″N,91°24′12″W
Springfield,MO,37°12′55″N,93°17′54″W
Tulsa,OK,36°07′53″N,95°56′14″W
Oklahoma City,OK,35°28′7″N,97°31′17″W
Cheyenne,OK,35°36′50″N,99°40′17″W
Amarillo,TX,35°11′57″N,101°50′43″W
Santa Rosa,NM,34°56′32″N,104°41′2″W
Albuquerque,NM,35°06′39″N,106°36′36″W
Holbrook,AZ,34°54′26″N,110°9′46″W
Phoenix,AZ,33°27′N,112°04′W
Yuma,AZ,32°41′32″N,114°36′55″W
San Diego,CA,32°42′54″N,117°09′45″W
Tallahassee,FL,30°27′18″N,84°15′12″W
Troy,AL,31°48′32″N,85°58′12″W
Montogomery,AL,32°21′42″N,86°16′45″W
Birmingham,AL,52°28′48″N,01°54′09″W
Tupelo,MS,34°15′35″N,88°43′33″W
New Albany,MS,34°29′32″N,89°0′34″W
Memphis,TN,35°07′03″N,89°58′16″W
Jonesboro,AR,35°49′41″N,90°41′39″W
Kansas City,MO,39°05′59″N,94°34′42″W
Lincoln,NE,40°48′32″N,96°40′44″W
Kearney,NE,40°42′3″N,99°4′52″W
Kimball,NE,41°14′1″N,103°39′34″W
Ogallala,NE,41°7′44″N,101°43′10″W
Cheyenne,WY,41°8′24″N,104°49′13″W
Saratoga,WY,41°27′16″N,106°48′30″W
Evanston,WY,41°15′48″N,110°57′53″W
Logan,UT,41°44′16″N,111°49′51″W
Twin Falls,ID,42°33′20″N,114°28′15″W
Boise,ID,43°36′57″N,116°12′6″W
Ontario,OR,44°1′37″N,116°58′7″W
Burns,OR,43°35′13″N,119°3′36″W
Bend,OR,44°3′N,121°18′W
Eugene,OR,44°03′07″N,123°05′12″W
